"","participant","univ","vote","confident","comment","id","question"
"358","michael greenstone","Chicago","Agree","4","key is the length of adjustment, recent research, including Acemoglu and Restrepo, suggest meaningful periods of time. <br>",7,1
"359","robert hall","Stanford","Uncertain","7","So far, the effects seem to be small-the labor force has shrunk only a bit. But the future could see much more shrinkage.<br>",7,1
"360","oliver hart","Harvard","Agree","5","There will be jobs in health and care service.Workers will need training. Unemployment may rise initially, but maybe not long-term.<br>",7,1
"361","bengt holmstrom","MIT","Agree","5","",7,1
"362","caroline hoxby","Stanford","Uncertain","10","",7,1
"363","hilary hoynes","Berkeley","Uncertain","9","",7,1
"364","kenneth judd","Stanford","Agree","8","Unemployment insurance benefits will be used to facilitate longer job search spells in the job market with fewer opportunities.<br>",7,1
"365","steven kaplan","Chicago","Agree","3","",7,1
"366","anil kashyap","Chicago","Uncertain","3","they will destroy a lot of jobs and will create many too. hard to know if the net, long-term effect will be substantial <br>",7,1
"367","pete klenow","Stanford","Agree","5","<a href=""https://academic.oup.com/restud/article-abstract/61/3/477/1589211"" target=""_blank-see background information here</a><br>",7,1
"368","jonathan levin","Stanford","Agree","4","Yes, with significant uncertainty. How quickly jobs will be lost and new jobs will be created is hard to forecast.<br>",7,1
"369","eric maskin","Harvard","Agree","7","",7,1
"370","william nordhaus","Yale","Strongly Disagree","9","For at least the next 20 years. After that, depends on evolution of AI etc.<br>",7,1
"371","emmanuel saez","Berkeley","Disagree","6","",7,1
"372","larry samuelson","Yale","Agree","8","But with appropriate institutions and retraining, the effect on unemployment could be significantly mitigated.<br>",7,1
"373","jose scheinkman","Princeton","Uncertain","6","Historical evidence suggests that this increase will be relatively short-run. <br>",7,1
"374","richard schmalensee","MIT","Agree","4","",7,1
"375","carl shapiro","Berkeley","Uncertain","1","",7,1
"376","robert shimer","Chicago","Disagree","5","Holding fixed institutions, wages and labor force participation will fall for some workers, but unemployment will not increase<br>",7,1
"377","richard thaler","Chicago","Uncertain","1","I don't understand the premise. We create tools but no one learns how to use them? <br>",7,1
"378","christopher udry","Yale","Agree","6","",7,1
"379","daron acemoglu","MIT","Strongly Agree","9","Negative wage effects on at least some workers and productivity improvements are likely. Politics is the real constraint on redistribution<br>",7,2
"380","alberto alesina","Harvard","Did Not Answer","","",7,2
"381","joseph altonji","Yale","Agree","5","",7,2
"382","alan auerbach","Berkeley","Agree","7","",7,2
"383","david autor","MIT","Agree","9","Panelist meant to strongly agree (question misread). Though these techs will almost surely ¡è GDP, losers almost surely won¡¯t be compensated.<br>",7,2
"384","katherine baicker","Chicago","Agree","1","",7,2
"385","abhijit banerjee","MIT","Uncertain","7","Having a job matters even if it does not change earnings. I wonder what mechanisms will keep the population engaged and emotionally rewarded<br>",7,2
"386","marianne bertrand","Chicago","Uncertain","2","",7,2
"387","markus brunnermeier","Princeton","Agree","5","",7,2
"388","raj chetty","Stanford","Did Not Answer","","",7,2
"389","judith chevalier","Yale","Did Not Answer","","",7,2
"390","david cutler","Harvard","Agree","7","",7,2
"391","angus deaton","Princeton","Strongly Agree","10","Not that they will. ""Could be""<br>",7,2
"392","darrell duffie","Stanford","No Opinion","","",7,2
"393","aaron edlin","Berkeley","Did Not Answer","","",7,2
"394","barry eichengreen","Berkeley","Agree","8","",7,2
"395","liran einav","Stanford","Strongly Agree","3","",7,2
"396","ray fair","Yale","Agree","5","",7,2
"397","amy finkelstein","MIT","Strongly Agree","9","",7,2
"398","pinelopi goldberg","Yale","Agree","5","",7,2
"399","austan goolsbee","Chicago","Strongly Agree","10","",7,2
"400","michael greenstone","Chicago","Agree","6","""could""-- yes but is a favorite academic ? of unclear real world relevance- benefits from big dislocations are not usually redistributed<br>",7,2
"401","robert hall","Stanford","Agree","4","There are already some bad signs about the shrinking labor force. Those not in the LF are unhappy and inclined to opiods. <br>",7,2
"402","oliver hart","Harvard","Agree","5","The pie is bigger and so monetary compensation is possible. But people may lose self-esteem if they no longer have a""good"" job.<br>",7,2
"403","bengt holmstrom","MIT","Agree","7","",7,2
"404","caroline hoxby","Stanford","Uncertain","10","",7,2
"405","hilary hoynes","Berkeley","Uncertain","9","",7,2
"406","kenneth judd","Stanford","Strongly Agree","9","The key word is ""could"". It is unclear how effective the political institutions will be in making this happen. I am pessimistic.<br>",7,2
"407","steven kaplan","Chicago","Strongly Agree","8","",7,2
"408","anil kashyap","Chicago","Agree","5","But i am skeptical this will be pursued much in the US, witness the program on trade adjustment assistance<br>",7,2
"409","pete klenow","Stanford","Strongly Agree","5","<a href=""https://academic.oup.com/qje/article-abstract/113/4/1091/1916985"" target=""_blank-see background information here</a><br>",7,2
"410","jonathan levin","Stanford","Agree","4","The potential benefits are large. Will they be used to compensate for job loss? May be determined more by politics than economics.<br>",7,2
"411","eric maskin","Harvard","Agree","7","",7,2
"412","william nordhaus","Yale","Agree","9","Slightly weird question. Impacts are + and -, with net being positive. Hard to know where gross job losses fit into the + and -, however. <br>",7,2
"413","emmanuel saez","Berkeley","Agree","8","",7,2
"414","larry samuelson","Yale","Agree","8","It is (alas) by no means clear that we can muster the political will to make the appropriate compensations.<br>",7,2
"415","jose scheinkman","Princeton","Agree","7","",7,2
"416","richard schmalensee","MIT","Strongly Agree","6","But, of course, it is not likely that those benefits will in fact be used to compensate the losers.<br>",7,2
"417","carl shapiro","Berkeley","Agree","6","",7,2
"418","robert shimer","Chicago","Strongly Agree","8","But the caveat is that compensating these workers will further reduce their employment<br>",7,2
"419","richard thaler","Chicago","Agree","3","The key word is ""could"". In the recent years the gains from tech have not trickled down much in terms of money. <br>",7,2
"420","christopher udry","Yale","Strongly Agree","9","...but three compensation is very unlikely to be paid for most of those who lose their jobs. <br>",7,2
"421","daron acemoglu","MIT","Disagree","3","",8,1
"422","alberto alesina","Harvard","Disagree","4","",8,1
"423","joseph altonji","Yale","Disagree","7","",8,1
"424","alan auerbach","Berkeley","Disagree","5","",8,1
"425","david autor","MIT","No Opinion","","",8,1
"426","katherine baicker","Chicago","Did Not Answer","","",8,1
"427","abhijit banerjee","MIT","Agree","6","",8,1
"428","marianne bertrand","Chicago","Disagree","2","",8,1
"429","markus brunnermeier","Princeton","Disagree","9","since inflation distorts the portfolio choice, Brunnermeier &amp; Sannikov ""On the Optimal Inflation Rate"" (AER PP).Also 4% can't be ignored<br>",8,1
"430","raj chetty","Stanford","Did Not Answer","","",8,1
"431","judith chevalier","Yale","Did Not Answer","","",8,1
"432","david cutler","Harvard","Agree","3","",8,1
"433","angus deaton","Princeton","Agree","6","",8,1
"434","darrell duffie","Stanford","Disagree","9","",8,1
"435","aaron edlin","Berkeley","Disagree","3","",8,1
"436","barry eichengreen","Berkeley","Agree","5","Assuming that the change did not also compromise the credibility of the Fed's (new) inflation target.<br>",8,1
"437","liran einav","Stanford","No Opinion","","",8,1
"438","ray fair","Yale","Uncertain","5","",8,1
"439","amy finkelstein","MIT","Disagree","3","",8,1
"440","pinelopi goldberg","Yale","Did Not Answer","","",8,1
"441","austan goolsbee","Chicago","Agree","4","If they did this now, costs would be unchanged because they have not even been able to get to 2 so not credible to promise 4<br>",8,1
"442","michael greenstone","Chicago","Uncertain","1","I tend to agree but I think the evidence is more based on intuition and theory than on empirical evidence.<br>",8,1
"443","robert hall","Stanford","Did Not Answer","","",8,1
"444","oliver hart","Harvard","Agree","5","I think that people can cope with low rates of inflation well, and 4% falls into that category. I wouldn't want to go much higher though.<br>",8,1
"445","bengt holmstrom","MIT","Disagree","5","",8,1
"446","caroline hoxby","Stanford","Uncertain","7","",8,1
"447","hilary hoynes","Berkeley","No Opinion","","",8,1
"448","kenneth judd","Stanford","Disagree","5","Nominal features of the tax code will drag down growth. Higher inflation may have higher uncertainty.<br>",8,1
"449","steven kaplan","Chicago","Uncertain","7","",8,1
"450","anil kashyap","Chicago","Disagree","3","big retirement planning mistakes from nominal illusion would become more common&amp;empirical regularity of more volatile inflation possible too<br>",8,1
"451","pete klenow","Stanford","Disagree","5","<a href=""http://www.annualreviews.org/doi/abs/10.1146/annurev-economics-080315-015306"" target=""_blank-see background information here</a><br>",8,1
"452","jonathan levin","Stanford","Uncertain","4","",8,1
"453","eric maskin","Harvard","Uncertain","5","Even if the inflation targets are met, the answer depends on how much price indexing, etc, is done<br>",8,1
"454","william nordhaus","Yale","Agree","7","",8,1
"455","emmanuel saez","Berkeley","Agree","4","",8,1
"456","larry samuelson","Yale","Disagree","6","If the target change leads to higher inflation (otherwise, why raise the target?), then households will bear the attendant costs.<br>",8,1
"457","jose scheinkman","Princeton","Disagree","3","I am uncertain about the magnitude of costs at these levels of inflation.<br>",8,1
"458","richard schmalensee","MIT","Agree","2","Hard to be very confident, particularly about the durability of the target.<br>",8,1
"459","carl shapiro","Berkeley","Agree","3","",8,1
"460","robert shimer","Chicago","Disagree","6","The welfare cost of inflation is the area under the money demand curve. This implies a cost of about $60bn/yr from the proposed policy<br><a href=""https://www.jstor.org/stable/1826826"" target=""_blank-see background information here</a><br>",8,1
"461","richard thaler","Chicago","Uncertain","1","",8,1
"462","christopher udry","Yale","No Opinion","","",8,1
"463","daron acemoglu","MIT","Agree","6","",8,2
"464","alberto alesina","Harvard","Agree","7","",8,2
"465","joseph altonji","Yale","Uncertain","3","",8,2
"466","alan auerbach","Berkeley","Strongly Agree","7","",8,2
"467","david autor","MIT","No Opinion","","",8,2
"468","katherine baicker","Chicago","Did Not Answer","","",8,2
"469","abhijit banerjee","MIT","Agree","7","",8,2
"470","marianne bertrand","Chicago","Agree","2","",8,2
"471","markus brunnermeier","Princeton","Agree","7","provided inflation target is hit (on average)<br>",8,2
"472","raj chetty","Stanford","Did Not Answer","","",8,2
"473","judith chevalier","Yale","Did Not Answer","","",8,2
"474","david cutler","Harvard","Agree","3","",8,2
"475","angus deaton","Princeton","Agree","6","",8,2
"476","darrell duffie","Stanford","Strongly Agree","10","",8,2
"477","aaron edlin","Berkeley","Disagree","4","",8,2
"478","barry eichengreen","Berkeley","Agree","7","",8,2
"479","liran einav","Stanford","No Opinion","","",8,2
"480","ray fair","Yale","Agree","5","",8,2
"481","amy finkelstein","MIT","Strongly Agree","3","",8,2
"482","pinelopi goldberg","Yale","Did Not Answer","","",8,2
"483","austan goolsbee","Chicago","Disagree","6","4 is not credible now. It would not give any bonus to policy making until Fed can show they could actually get to 4<br>",8,2
"484","michael greenstone","Chicago","Agree","3","",8,2
"485","robert hall","Stanford","Did Not Answer","","",8,2
"486","oliver hart","Harvard","Agree","5","Nominal rates would be higher and so could be reduced without hitting the zero lower bound. Also real rates would be lower.<br>",8,2
"487","bengt holmstrom","MIT","Agree","7","",8,2
"488","caroline hoxby","Stanford","Agree","7","",8,2
"489","hilary hoynes","Berkeley","No Opinion","","",8,2
"490","kenneth judd","Stanford","Agree","5","That is technically true, but I doubt that it would justify a higher interest rate target.<br>",8,2
"491","steven kaplan","Chicago","Agree","3","",8,2
"492","anil kashyap","Chicago","Agree","1","assumes they are on or close to target when the recession comes. <br>",8,2
"493","pete klenow","Stanford","Strongly Agree","1","<a href=""http://www.annualreviews.org/doi/abs/10.1146/annurev-economics-080315-015306"" target=""_blank-see background information here</a><br>",8,2
"494","jonathan levin","Stanford","Uncertain","4","",8,2
"495","eric maskin","Harvard","Agree","5","Higher inflation rates often imply higher nominal interest rates, giving the Fed greater leeway.<br>",8,2
"496","william nordhaus","Yale","Strongly Agree","10","",8,2
"497","emmanuel saez","Berkeley","Agree","6","",8,2
"498","larry samuelson","Yale","Disagree","6","We've already seen rates go as low as they can, so a higher inflation target opens up little room for lower rates.<br>",8,2
